iter	Passed	Remaining
0	27	27125
1	50	25395
2	75	25042
3	99	24762
4	123	24596
5	147	24462
6	173	24636
7	201	24938
8	229	25252
9	257	25511
10	285	25624
11	314	25903
12	343	26056
13	374	26365
14	403	26518
15	431	26509
16	455	26327
17	478	26099
18	502	25921
19	526	25805
20	549	25627
21	573	25490
22	597	25370
23	622	25327
24	648	25281
25	673	25226
26	698	25161
27	720	25000
28	743	24891
29	767	24817
30	792	24766
31	815	24682
32	839	24612
33	862	24512
34	885	24427
35	908	24330
36	933	24299
37	957	24229
38	980	24160
39	1004	24119
40	1028	24062
41	1052	24011
42	1076	23969
43	1100	23911
44	1125	23883
45	1153	23929
46	1179	23909
47	1202	23855
48	1227	23829
49	1251	23787
50	1274	23713
51	1297	23663
52	1323	23640
53	1350	23654
54	1375	23640
55	1400	23616
56	1424	23566
57	1447	23515
58	1471	23473
59	1496	23440
60	1521	23416
61	1545	23377
62	1568	23331
63	1592	23291
64	1615	23237
65	1640	23211
66	1663	23163
67	1686	23120
68	1710	23078
69	1734	23040
70	1757	23000
71	1780	22954
72	1804	22912
73	1828	22875
74	1851	22838
75	1875	22802
76	1898	22755
77	1921	22715
78	1944	22670
79	1968	22635
80	1992	22602
81	2015	22565
82	2039	22531
83	2061	22484
84	2085	22446
85	2110	22428
86	2134	22398
87	2157	22360
88	2180	22322
89	2205	22298
90	2228	22260
91	2253	22238
92	2276	22205
93	2299	22167
94	2324	22142
95	2349	22122
96	2375	22117
97	2400	22097
98	2425	22078
99	2449	22045
100	2473	22013
101	2497	21984
102	2523	21972
103	2548	21956
104	2572	21928
105	2599	21925
106	2624	21903
107	2649	21885
108	2675	21867
109	2700	21847
110	2728	21849
111	2756	21858
112	2783	21850
113	2807	21822
114	2831	21793
115	2856	21767
116	2880	21741
117	2904	21709
118	2929	21690
119	2954	21668
120	2979	21645
121	3003	21617
122	3028	21593
123	3053	21568
124	3077	21541
125	3101	21513
126	3125	21483
127	3149	21458
128	3175	21439
129	3200	21417
130	3224	21387
131	3248	21361
132	3273	21336
133	3297	21312
134	3322	21285
135	3346	21262
136	3374	21259
137	3400	21240
138	3424	21210
139	3448	21182
140	3471	21149
141	3495	21118
142	3517	21083
143	3541	21051
144	3565	21024
145	3591	21006
146	3614	20975
147	3638	20947
148	3663	20920
149	3686	20889
150	3711	20866
151	3735	20839
152	3759	20811
153	3782	20778
154	3805	20748
155	3828	20712
156	3852	20686
157	3877	20661
158	3900	20633
159	3924	20601
160	3947	20572
161	3971	20544
162	3994	20512
163	4017	20480
164	4042	20455
165	4065	20427
166	4090	20402
167	4114	20377
168	4139	20352
169	4162	20321
170	4186	20294
171	4210	20267
172	4233	20238
173	4257	20209
174	4280	20181
175	4303	20148
176	4327	20123
177	4353	20106
178	4382	20098
179	4407	20080
180	4431	20052
181	4456	20029
182	4479	19998
183	4503	19972
184	4527	19944
185	4550	19913
186	4574	19887
187	4599	19866
188	4623	19839
189	4646	19809
190	4670	19783
191	4695	19759
192	4718	19728
193	4742	19703
194	4766	19675
195	4790	19649
196	4816	19634
197	4842	19615
198	4868	19594
199	4893	19573
200	4917	19549
201	4940	19519
202	4964	19489
203	4988	19463
204	5011	19436
205	5035	19408
206	5059	19381
207	5082	19353
208	5105	19321
209	5128	19293
210	5153	19271
211	5177	19243
212	5200	19215
213	5223	19185
214	5247	19158
215	5270	19129
216	5293	19099
217	5318	19078
218	5343	19057
219	5368	19034
220	5394	19013
221	5417	18985
222	5442	18963
223	5471	18953
224	5497	18934
225	5520	18907
226	5547	18890
227	5572	18866
228	5599	18851
229	5624	18829
230	5648	18804
231	5672	18776
232	5698	18759
233	5722	18733
234	5748	18714
235	5772	18688
236	5797	18663
237	5821	18639
238	5845	18613
239	5869	18587
240	5895	18565
241	5921	18547
242	5946	18523
243	5970	18499
244	5997	18482
245	6023	18461
246	6047	18436
247	6072	18414
248	6097	18391
249	6122	18367
250	6147	18345
251	6171	18319
252	6195	18293
253	6220	18270
254	6244	18243
255	6268	18216
256	6292	18191
257	6316	18167
258	6345	18155
259	6373	18139
260	6399	18120
261	6424	18095
262	6447	18066
263	6472	18043
264	6495	18014
265	6516	17982
266	6540	17955
267	6563	17927
268	6588	17903
269	6611	17876
270	6638	17856
271	6662	17831
272	6686	17806
273	6710	17779
274	6734	17753
275	6756	17723
276	6780	17699
277	6804	17672
278	6827	17643
279	6850	17615
280	6872	17585
281	6896	17560
282	6922	17538
283	6947	17515
284	6971	17489
285	6995	17463
286	7019	17438
287	7042	17410
288	7064	17379
289	7086	17349
290	7109	17321
291	7133	17295
292	7155	17266
293	7181	17244
294	7203	17216
295	7227	17189
296	7251	17164
297	7275	17138
298	7298	17111
299	7324	17091
300	7351	17071
301	7358	17007
302	7382	16983
303	7406	16956
304	7431	16933
305	7453	16904
306	7478	16881
307	7501	16853
308	7524	16826
309	7547	16800
310	7572	16775
311	7597	16752
312	7619	16724
313	7643	16698
314	7666	16670
315	7689	16643
316	7712	16617
317	7736	16591
318	7759	16564
319	7782	16538
320	7806	16512
321	7829	16486
322	7852	16457
323	7877	16434
324	7899	16407
325	7922	16380
326	7945	16353
327	7970	16329
328	7994	16305
329	8018	16279
330	8041	16252
331	8063	16224
332	8086	16197
333	8109	16170
334	8133	16145
335	8156	16118
336	8179	16091
337	8203	16066
338	8226	16040
339	8248	16011
340	8271	15986
341	8294	15958
342	8320	15938
343	8345	15914
344	8369	15889
345	8391	15861
346	8415	15836
347	8440	15814
348	8465	15790
349	8491	15769
350	8515	15744
351	8539	15719
352	8563	15695
353	8588	15673
354	8613	15649
355	8636	15623
356	8659	15597
357	8684	15574
358	8710	15552
359	8734	15528
360	8758	15503
361	8783	15481
362	8808	15456
363	8833	15435
364	8861	15415
365	8885	15392
366	8910	15368
367	8934	15343
368	8960	15322
369	8985	15299
370	9010	15275
371	9037	15256
372	9063	15235
373	9090	15215
374	9114	15190
375	9138	15165
376	9162	15141
377	9188	15118
378	9213	15095
379	9237	15071
380	9262	15048
381	9287	15025
382	9314	15005
383	9339	14982
384	9367	14964
385	9393	14942
386	9419	14920
387	9445	14899
388	9470	14874
389	9495	14851
390	9518	14825
391	9540	14797
392	9564	14772
393	9589	14749
394	9613	14725
395	9636	14697
396	9658	14670
397	9683	14646
398	9706	14620
399	9730	14595
400	9754	14570
401	9778	14546
402	9802	14520
403	9824	14494
404	9847	14467
405	9870	14440
406	9893	14415
407	9918	14391
408	9940	14364
409	9963	14337
410	9987	14313
411	10022	14303
412	10053	14289
413	10082	14271
414	10111	14252
415	10133	14226
416	10157	14201
417	10179	14173
418	10202	14147
419	10226	14122
420	10249	14096
421	10274	14072
422	10299	14049
423	10327	14029
424	10355	14009
425	10383	13990
426	10410	13969
427	10436	13947
428	10462	13926
429	10489	13904
430	10513	13879
431	10537	13854
432	10560	13828
433	10583	13802
434	10606	13776
435	10630	13751
436	10654	13726
437	10677	13700
438	10701	13675
439	10725	13650
440	10749	13625
441	10773	13600
442	10796	13574
443	10819	13548
444	10843	13523
445	10866	13497
446	10889	13471
447	10913	13447
448	10936	13420
449	10958	13394
450	10982	13368
451	11013	13352
452	11034	13324
453	11057	13298
454	11081	13272
455	11105	13249
456	11129	13224
457	11154	13200
458	11181	13178
459	11205	13154
460	11228	13128
461	11251	13102
462	11275	13077
463	11302	13055
464	11326	13031
465	11350	13006
466	11373	12980
467	11396	12955
468	11418	12928
469	11443	12904
470	11470	12882
471	11496	12860
472	11520	12835
473	11544	12810
474	11568	12786
475	11593	12763
476	11617	12738
477	11642	12714
478	11667	12690
479	11690	12664
480	11715	12640
481	11741	12618
482	11764	12593
483	11791	12571
484	11816	12546
485	11841	12523
486	11865	12499
487	11890	12475
488	11913	12449
489	11938	12425
490	11962	12400
491	11987	12377
492	12009	12351
493	12033	12325
494	12058	12302
495	12083	12278
496	12108	12254
497	12131	12229
498	12156	12205
499	12181	12181
500	12205	12157
501	12230	12132
502	12254	12108
503	12281	12086
504	12308	12065
505	12334	12041
506	12358	12017
507	12382	11992
508	12407	11968
509	12432	11944
510	12455	11919
511	12478	11894
512	12502	11868
513	12525	11843
514	12548	11817
515	12573	11793
516	12602	11774
517	12630	11752
518	12657	11731
519	12685	11709
520	12711	11686
521	12740	11666
522	12767	11644
523	12795	11623
524	12824	11602
525	12851	11581
526	12878	11558
527	12905	11536
528	12933	11515
529	12961	11494
530	12988	11471
531	13014	11448
532	13040	11425
533	13068	11404
534	13095	11382
535	13122	11360
536	13152	11339
537	13181	11319
538	13210	11298
539	13238	11277
540	13276	11263
541	13304	11242
542	13335	11223
543	13365	11203
544	13392	11181
545	13421	11159
546	13450	11139
547	13478	11117
548	13500	11090
549	13523	11064
550	13546	11038
551	13568	11012
552	13592	10987
553	13614	10960
554	13637	10934
555	13661	10909
556	13684	10883
557	13705	10856
558	13728	10830
559	13751	10804
560	13775	10779
561	13798	10753
562	13821	10728
563	13845	10703
564	13868	10677
565	13891	10652
566	13914	10625
567	13936	10599
568	13959	10574
569	13983	10548
570	14005	10522
571	14028	10496
572	14051	10471
573	14075	10446
574	14097	10420
575	14120	10394
576	14143	10368
577	14166	10343
578	14190	10317
579	14214	10292
580	14236	10267
581	14260	10242
582	14286	10218
583	14311	10194
584	14334	10168
585	14357	10143
586	14380	10117
587	14405	10093
588	14430	10069
589	14454	10044
590	14479	10020
591	14503	9995
592	14529	9971
593	14553	9947
594	14577	9922
595	14600	9897
596	14624	9872
597	14647	9846
598	14672	9822
599	14694	9796
600	14719	9772
601	14743	9747
602	14768	9722
603	14791	9697
604	14817	9674
605	14842	9650
606	14867	9626
607	14892	9601
608	14918	9578
609	14943	9553
610	14967	9529
611	14992	9505
612	15018	9481
613	15042	9456
614	15066	9431
615	15090	9407
616	15114	9382
617	15140	9358
618	15166	9334
619	15191	9310
620	15216	9286
621	15240	9262
622	15286	9250
623	15311	9226
624	15336	9201
625	15362	9178
626	15388	9154
627	15414	9130
628	15438	9105
629	15462	9081
630	15486	9056
631	15508	9030
632	15532	9005
633	15555	8980
634	15579	8955
635	15604	8930
636	15627	8905
637	15650	8879
638	15672	8854
639	15697	8829
640	15720	8804
641	15743	8779
642	15767	8754
643	15790	8729
644	15812	8703
645	15835	8677
646	15859	8652
647	15882	8627
648	15906	8602
649	15930	8577
650	15954	8553
651	15979	8528
652	16004	8504
653	16027	8479
654	16051	8454
655	16074	8429
656	16097	8403
657	16119	8378
658	16142	8353
659	16166	8328
660	16189	8302
661	16212	8277
662	16235	8252
663	16260	8228
664	16284	8203
665	16309	8179
666	16332	8154
667	16355	8128
668	16377	8103
669	16402	8078
670	16426	8053
671	16450	8029
672	16474	8004
673	16499	7980
674	16521	7955
675	16543	7929
676	16566	7904
677	16590	7879
678	16613	7854
679	16637	7829
680	16660	7804
681	16683	7779
682	16706	7754
683	16730	7729
684	16752	7703
685	16776	7679
686	16800	7654
687	16823	7629
688	16848	7604
689	16872	7580
690	16897	7556
691	16921	7531
692	16943	7506
693	16965	7480
694	16988	7455
695	17011	7430
696	17036	7406
697	17060	7381
698	17081	7355
699	17105	7330
700	17128	7305
701	17152	7281
702	17176	7256
703	17198	7231
704	17222	7206
705	17248	7182
706	17273	7158
707	17296	7133
708	17320	7108
709	17343	7083
710	17368	7059
711	17393	7035
712	17419	7011
713	17445	6988
714	17472	6964
715	17497	6940
716	17523	6916
717	17546	6891
718	17570	6866
719	17594	6842
720	17618	6817
721	17643	6793
722	17667	6768
723	17692	6744
724	17717	6720
725	17742	6696
726	17765	6671
727	17790	6646
728	17813	6621
729	17836	6596
730	17860	6572
731	17884	6547
732	17909	6523
733	17933	6499
734	17957	6474
735	17981	6449
736	18005	6425
737	18031	6401
738	18056	6377
739	18081	6352
740	18105	6328
741	18129	6303
742	18156	6280
743	18181	6255
744	18204	6231
745	18230	6207
746	18258	6183
747	18284	6159
748	18307	6135
749	18331	6110
750	18356	6086
751	18381	6061
752	18405	6037
753	18427	6012
754	18451	5987
755	18475	5963
756	18499	5938
757	18531	5916
758	18552	5890
759	18574	5865
760	18597	5840
761	18621	5816
762	18644	5791
763	18667	5766
764	18690	5741
765	18713	5716
766	18737	5692
767	18760	5667
768	18783	5642
769	18807	5617
770	18831	5593
771	18855	5568
772	18879	5544
773	18902	5519
774	18925	5494
775	18949	5469
776	18972	5445
777	18996	5420
778	19020	5395
779	19043	5371
780	19067	5346
781	19091	5322
782	19114	5297
783	19162	5279
784	19185	5254
785	19208	5229
786	19233	5205
787	19260	5181
788	19283	5157
789	19307	5132
790	19330	5107
791	19355	5083
792	19378	5058
793	19402	5033
794	19426	5009
795	19450	4984
796	19474	4960
797	19501	4936
798	19528	4912
799	19555	4888
800	19582	4865
801	19608	4840
802	19632	4816
803	19655	4791
804	19677	4766
805	19702	4742
806	19726	4717
807	19750	4693
808	19772	4668
809	19796	4643
810	19820	4619
811	19844	4594
812	19868	4569
813	19891	4545
814	19914	4520
815	19938	4495
816	19961	4471
817	19985	4446
818	20010	4422
819	20034	4397
820	20058	4373
821	20080	4348
822	20103	4323
823	20127	4299
824	20151	4274
825	20174	4249
826	20198	4225
827	20224	4201
828	20249	4176
829	20273	4152
830	20296	4127
831	20319	4103
832	20343	4078
833	20368	4054
834	20391	4029
835	20418	4005
836	20448	3982
837	20476	3958
838	20503	3934
839	20531	3910
840	20560	3887
841	20589	3863
842	20615	3839
843	20640	3815
844	20664	3790
845	20690	3766
846	20714	3741
847	20738	3717
848	20762	3692
849	20787	3668
850	20812	3644
851	20836	3619
852	20860	3595
853	20886	3570
854	20911	3546
855	20936	3522
856	20961	3497
857	20987	3473
858	21012	3449
859	21037	3424
860	21061	3400
861	21086	3375
862	21109	3351
863	21134	3326
864	21159	3302
865	21186	3278
866	21214	3254
867	21241	3230
868	21266	3205
869	21290	3181
870	21313	3156
871	21337	3132
872	21362	3107
873	21385	3083
874	21410	3058
875	21434	3034
876	21458	3009
877	21484	2985
878	21507	2960
879	21532	2936
880	21555	2911
881	21578	2886
882	21603	2862
883	21629	2838
884	21653	2813
885	21678	2789
886	21701	2764
887	21724	2740
888	21747	2715
889	21770	2690
890	21795	2666
891	21819	2641
892	21842	2617
893	21865	2592
894	21888	2567
895	21913	2543
896	21937	2518
897	21960	2494
898	21984	2469
899	22006	2445
900	22031	2420
901	22055	2396
902	22079	2371
903	22102	2347
904	22127	2322
905	22150	2298
906	22174	2273
907	22200	2249
908	22224	2224
909	22250	2200
910	22274	2176
911	22296	2151
912	22319	2126
913	22344	2102
